codbalance;description1;description2;description3;description4;id;level1;level2;level3;level4;nature;subtype
IG-A--III-;Ingresos y gastos imputados directamente al patrimonio neto;;III. Subvenciones, donaciones y legados recibidos.;;105;A;0;III;;IG;normal
IG-A--III-;Ingresos y gastos imputados directamente al patrimonio neto;;III. Subvenciones, donaciones y legados recibidos.;;106;A;0;III;;IG;abbreviated
IG-A--IV-;Ingresos y gastos imputados directamente al patrimonio neto;;IV. Por ganancias y pérdidas actuariales y otros ajustes.;;107;A;0;IV;;IG;normal
IG-A--IV-;Ingresos y gastos imputados directamente al patrimonio neto;;IV. Por ganancias y pérdidas actuariales y otros ajustes.;;108;A;0;IV;;IG;abbreviated
IG-A--V-;Ingresos y gastos imputados directamente al patrimonio neto;;V. Efecto impositivo.;;109;A;0;V;;IG;normal
IG-A--V-;Ingresos y gastos imputados directamente al patrimonio neto;;V. Efecto impositivo.;;110;A;0;V;;IG;abbreviated
IG-B--IX-;Transferencias a la cuenta de pérdidas y ganancias;;IX. Efecto impositivo.;;111;B;0;IX;;IG;normal
IG-B--IX-;Transferencias a la cuenta de pérdidas y ganancias;;IX. Efecto impositivo.;;112;B;0;IX;;IG;abbreviated
IG-B--VI-1;Transferencias a la cuenta de pérdidas y ganancias;;VI. Por valoración de instrumentos financieros.;1.Activos financieros disponibles para la venta.;113;B;0;VI;1;IG;normal
IG-B--VI-1;Transferencias a la cuenta de pérdidas y ganancias;;VI. Por valoración de instrumentos financieros.;1.Activos financieros disponibles para la venta.;114;B;0;VI;1;IG;abbreviated
IG-B--VI-2;Transferencias a la cuenta de pérdidas y ganancias;;VI. Por valoración de instrumentos financieros.;2. Otros ingresos/gastos.;115;B;0;VI;2;IG;normal
IG-B--VI-2;Transferencias a la cuenta de pérdidas y ganancias;;VI. Por valoración de instrumentos financieros.;2. Otros ingresos/gastos.;116;B;0;VI;2;IG;abbreviated
IG-B--VII-;Transferencias a la cuenta de pérdidas y ganancias;;VII. Por coberturas de flujos de efectivo.;;117;B;0;VII;;IG;normal
IG-B--VII-;Transferencias a la cuenta de pérdidas y ganancias;;VII. Por coberturas de flujos de efectivo.;;118;B;0;VII;;IG;abbreviated
IG-B--VIII-;Transferencias a la cuenta de pérdidas y ganancias;;VIII. Subvenciones, donaciones y legados recibidos.;;119;B;0;VIII;;IG;normal
