codbalance;nature;subtype;level1;description1;level2;description2;level3;description3;level4;description4
A-A--I-5;A;normal;A;A) ACTIVO NO CORRIENTE;0;;I;I. Inmovilizado intangible.;5;5. Aplicaciones informáticas.
A-A--I-6;A;normal;A;A) ACTIVO NO CORRIENTE;0;;I;I. Inmovilizado intangible.;6;6. Otro inmovilizado intangible.
A-A--II-1;A;normal;A;A) ACTIVO NO CORRIENTE;0;;II;II. Inmovilizado material.;1;1. Terrenos y construcciones.
A-A--II-2;A;normal;A;A) ACTIVO NO CORRIENTE;0;;II;II. Inmovilizado material.;2;2. Instalaciones técnicas, y otro inmovilizado material.
A-A--II-3;A;normal;A;A) ACTIVO NO CORRIENTE;0;;II;II. Inmovilizado material.;3;3. Inmovilizado en curso y anticipos.
A-A--III-1;A;normal;A;A) ACTIVO NO CORRIENTE;0;;III;III. Inversiones inmobiliarias.;1;1. Terrenos.
A-A--III-2;A;normal;A;A) ACTIVO NO CORRIENTE;0;;III;III. Inversiones inmobiliarias.;2;2. Construcciones.
A-A--IV-1;A;normal;A;A) ACTIVO NO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a largo plazo;1;1. Instrumentos de patrimonio.
A-A--IV-2;A;normal;A;A) ACTIVO NO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a largo plazo;2;2. Créditos a empresas.
A-A--IV-3;A;normal;A;A) ACTIVO NO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a largo plazo;3;3. Valores representativos de deuda.
A-A--IV-4;A;normal;A;A) ACTIVO NO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a largo plazo;4;4. Derivados.
A-A--IV-5;A;normal;A;A) ACTIVO NO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a largo plazo;5;5. Otros activos financieros.
A-A--V-1;A;normal;A;A) ACTIVO NO CORRIENTE;0;;V;V. Inversiones financieras a largo plazo.;1;1. Instrumentos de patrimonio.
A-A--V-2;A;normal;A;A) ACTIVO NO CORRIENTE;0;;V;V. Inversiones financieras a largo plazo.;2;2. Créditos a terceros
A-A--V-3;A;normal;A;A) ACTIVO NO CORRIENTE;0;;V;V. Inversiones financieras a largo plazo.;3;3. Valores representativos de deuda
A-A--V-4;A;normal;A;A) ACTIVO NO CORRIENTE;0;;V;V. Inversiones financieras a largo plazo.;4;4. Derivados.
A-A--V-5;A;normal;A;A) ACTIVO NO CORRIENTE;0;;V;V. Inversiones financieras a largo plazo.;5;5. Otros activos financieros.
A-A--VI-;A;normal;A;A) ACTIVO NO CORRIENTE;0;;VI;VI. Activos por impuesto diferido.;;
A-B--I-;A;normal;B;B) ACTIVO CORRIENTE;0;;I;I. Activos no corrientes mantenidos para la venta.;;
